data,inicio,fim,titulo,local,participantes
2021-03-01,09h30,09h50,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República,Palácio do Planalto,Augusto Heleno -  Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e;Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República.
2021-03-01,10h00,10h30,Luiz Carlos Gomes Mattos -  Ministro do Superior Tribunal Militar,Palácio do Planalto,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República;;Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República;;Augusto Heleno -  Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e;Péricles Aurélio Lima de Queiroz -  Ministro do Superior Tribunal Militar – STM.
2021-03-01,10h40,11h00,Pedro Guimarães -  Presidente da CAIXA,Palácio do Planalto,
2021-03-01,11h10,11h40,Ernesto Araújo -  Ministro de Estado das Relações Exteriores,Palácio do Planalto,
2021-03-01,11h40,13h15,Roberto Campos Neto -  Presidente do Banco Central,Palácio do Planalto,Paulo Guedes -  Ministro de Estado da Economia;;Bento Albuquerque -  Ministro de Estado de Minas e Energia;;Pedro Guimarães -  Presidente da CAIXA;;João Eduardo Dapache -  Diretor-Presidente da Caixa Seguridade; e;Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República.
2021-03-01,14h00,14h30,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes -  Ministro de Estado da Economia; João Roma -  Ministro de Estado da Cidadania; Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República; e Deputado Onyx Lorenzoni (DEM/RS),Palácio do Planalto,Ricardo Soriano -  Procurador-Geral da Fazenda Nacional do Ministério da Economia;;Bruno Bianco -  Secretário Especial de Previdência e Trabalho do Ministério da Economia; e;Caio Paes de Andrade -  Secretário Especial de Desburocratização -  Gestão e Governo Digital do Ministério da Economia.
2021-03-01,15h40,16h00,José Levi Mello do Amaral Júnior -  Advogado-Geral da União,Palácio do Planalto,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República.
2021-03-01,16h00,16h30,Hamilton Mourão -  Vice-Presidente da República,Palácio do Planalto,
2021-03-01,17h00,17h15,Fernando Azevedo -  Ministro de Estado da Defesa,Palácio do Planalto,
2021-03-01,18h00,18h30,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes -  Ministro de Estado da Economia; João Roma -  Ministro de Estado da Cidadania; Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República; e Deputado Onyx Lorenzoni (DEM/RS),Palácio do Planalto,Waldery Rodrigues -  Secretário Especial de Fazenda do Ministério da Economia;;Bruno Bianco -  Secretário Especial de Previdência e Trabalho do Ministério da Economia; e;Caio Paes de Andrade -  Secretário Especial de Desburocratização -  Gestão e Governo Digital do Ministério da Economia.
2021-03-02,09h30,10h30,Eduardo Pazuello -  Ministro de Estado da Saúde; Fábio Faria -  Ministro de Estado das Comunicações; Rogério Marinho -  Ministro de Estado do Desenvolvimento Regional; Augusto Heleno -  Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e José Levi Mello do Amaral Júnior -  Advogado-Geral da União,Palácio do Planalto,
2021-03-02,12h00,13h00,Deputado Fábio Ramalho (MDB/MG) -  Vice-Líder do MDB na Câmara dos Deputados,Palácio do Planalto,
2021-03-02,14h45,15h45,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-02,15h45,16h15,Marcelo Magalhães -  Secretário Especial do Esporte do Ministério da Cidadania,Palácio do Planalto,Ronaldo Lima dos Santos -  Secretário Nacional de Futebol e Defesa dos Direitos do Torcedor.
2021-03-03,12h00,13h30,Nasser Riden T. Almotairi -  Embaixador do Kuwait no Brasil,Brasília/DF,
2021-03-03,14h00,14h15,Fernando Azevedo -  Ministro de Estado da Defesa,Palácio do Planalto,
2021-03-03,14h20,14h40,Eduardo Pazuello -  Ministro de Estado da Saúde,Palácio do Planalto,
2021-03-03,14h45,15h15,Deputado Delegado Éder Mauro (PSD/PA),Palácio do Planalto,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República.
2021-03-03,15h30,16h00,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-03,16h00,16h30,Onyx Lorenzoni -  Ministro-Chefe da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-03,16h30,17h00,Milton Ribeiro -  Ministro de Estado da Educação,Palácio do Planalto,Danilo Dupas -  Presidente do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira – INEP.
2021-03-03,17h30,18h00,Rogério Marinho -  Ministro de Estado do Desenvolvimento Regional,Palácio do Planalto,General de Exército Edson Leal Pujol -  Comandante do Exército;;Deputado Santini (PTB/RS);;Deputado Sanderson (PSL/RS);;Deputado Marcelo Moraes (PTB/RS);;General de Exército Júlio Cesar de Arruda -  Chefe do Departamento de Engenharia e Construção (DEC) do Exército Brasileiro;;Divaldo Lara -  Prefeito do município de Bagé/RS; e;Graziane Lara -  Vereador do município de Bagé/RS.
2021-03-04,08h30,10h30,Partida de Brasília/DF para São Simão/GO,Base Aérea de Brasília,
